Número	TIPO DE CONTRATO	date	dni	actividad	centro	importe	quien		BOLETÍN OFICIAL	COMENTARIOS
1146	SUMINISTRO	11/27/2014	A/SUM/3024/2014	PRODUCTOS QUIMICOS	HOSPITAL DE MOSTOLES	2659.00	AKRALAB SL		BOCM 07/01/2015	
1147	SUMINISTRO	11/27/2014	A/SUM/3024/2014	PRODUCTOS QUIMICOS	HOSPITAL DE MOSTOLES	817.00	FISHER SCIENTIFIC SL		BOCM 07/01/2015	
1148	SUMINISTRO	11/27/2014	A/SUM/3024/2014	PRODUCTOS QUIMICOS	HOSPITAL DE MOSTOLES	3663.00	LEICA MICROSISTEMAS SA		BOCM 07/01/2015	
1149	SUMINISTRO	11/27/2014	A/SUM/3024/2014	PRODUCTOS QUIMICOS	HOSPITAL DE MOSTOLES	437.00	SIGMA ALDRICH QUIMICA SL		BOCM 07/01/2015	
1150	SUMINISTRO	11/27/2014	A/SUM/3024/2014	PRODUCTOS QUIMICOS	HOSPITAL DE MOSTOLES	1455.00	VWR INTERNATIONAL EUR.		BOCM 07/01/2015	
1151	SUMINISTRO	11/27/2014	A/SUM/3024/2014	PRODUCTOS QUIMICOS	HOSPITAL DE MOSTOLES	254.00	GRUPO TAPER SA		BOCM 07/01/2015	
1152	SUMINISTRO	11/27/2014	A/SUM/3024/2014	PRODUCTOS QUIMICOS	HOSPITAL DE MOSTOLES	8893.00	PANREAC QUIMICA SLU		BOCM 07/01/2015	
1153	SUMINISTRO	10/6/2014	GCASU1400356	ACTUALIZACIÓN SOFTWARE	EMPRESA PUBLICA UNIDAD CENTRAL DE DIAGNOSTICO	142802.00	G.E. HEALTHCARE ESPAÑA		BOCM 13/01/2015	
1154	SUMINISTRO	12/17/2014	PA 41/2014 HUP	MATERIAL IMPLANTABLE	HOSPITAL DE LA PRINCESA	120008.00	VARIOS PROVEEDORES		BOCM 13/01/2015	
1155	SUMINISTRO	12/15/2014	PA 1/2015 HUP	MATERIAL DIVERSO SUTURA	HOSPITAL DE LA PRINCESA	108731.00	VARIOS PROVEEDORES		BOCM 13/01/2015	
1156	SUMINISTRO	11/30/2014	GCASU 2014-327	SUMINISTRO REACTIVOS	HOSPITAL PUERTA DE HIERRO (MAJADAHONDA)	873731.00	ROCHE DIAGNOSTICS S.L		BOCM 13/01/2015	
1157	SUMINISTRO	10/27/2014	PNSP 27/2014	ADVATE (FACTOR VII)	HOSPITAL LA PAZ	2911797.00	BAXTER S.L		BOCM 16/01/2015	
1158	SUMINISTRO	12/4/2014	PA 2014-0-37	JERINGAS PRECARGABLES	HOSPITAL 12 DE OCTUBRE	209223.00	BECTON DICKINSON		BOCM 16/01/2015	
1159	SUMINISTRO	12/3/2014	PACP 2014-1-22	MEDICAMENTOS	HOSPITAL DE GETAFE	2122.00	COMBINO PHARMA SL		BOCM 16/01/2015	
1160	SUMINISTRO	12/3/2014	PACP 2014-1-22	MEDICAMENTOS	HOSPITAL DE GETAFE	14262.00	HOSPIRA PRODUCT. FARM.		BOCM 16/01/2015	
1161	SUMINISTRO	12/3/2014	PACP 2014-1-22	MEDICAMENTOS	HOSPITAL DE GETAFE	28351.00	G.E.S. GENERICOS ESPAÑ.		BOCM 16/01/2015	
1162	SUMINISTRO	12/3/2014	PACP 2014-1-22	MEDICAMENTOS	HOSPITAL DE GETAFE	4081.00	GLAXOSMITHKLINE		BOCM 16/01/2015	
1163	SUMINISTRO	12/3/2014	PACP 2014-1-22	MEDICAMENTOS	HOSPITAL DE GETAFE	5354.00	LABORATORIO ALDO-UNION		BOCM 16/01/2015	
1164	SUMINISTRO	12/3/2014	PACP 2014-1-22	MEDICAMENTOS	HOSPITAL DE GETAFE	4472.00	LABORATORIO BOHM		BOCM 16/01/2015	
1165	SUMINISTRO	12/3/2014	PACP 2014-1-22	MEDICAMENTOS	HOSPITAL DE GETAFE	9106.00	CASEN RECORDATI SL		BOCM 16/01/2015	
1166	SUMINISTRO	12/3/2014	PACP 2014-1-22	MEDICAMENTOS	HOSPITAL DE GETAFE	23649.00	SANDOZ FARMACEUTICA SA		BOCM 16/01/2015	
1167	SUMINISTRO	12/3/2014	PACP 2014-1-22	MEDICAMENTOS	HOSPITAL DE GETAFE	4391.00	LABORATORIOS NORMON SA		BOCM 16/01/2015	
1168	SUMINISTRO	12/3/2014	PACP 2014-1-22	MEDICAMENTOS	HOSPITAL DE GETAFE	1130.00	LAINCO SA		BOCM 16/01/2015	
1169	SUMINISTRO	11/27/2014	PNSP 2014-3-22	ANTINEOPLASICOS	HOSPITAL DE GETAFE	235238.00	JANSSEN CILAG S.A		BOCM 16/01/2015	
1170	SUMINISTRO	12/23/2014	30/2014 (07-EG-1059.7/2014)	PRODUCT. ELECTRO.	CONSEJERIA DE SANIDAD	1102431.00	OVID TECHNOLOGIES		BOCM 19/01/2015	
1171	SUMINISTRO	12/17/2014	30/2014 (07-EG-1059.7/2014)	PRODUCT. ELECTRO.	CONSEJERIA DE SANIDAD	131890.00	PROQUEST INFORMATION		BOCM 19/01/2015	
1172	SUMINISTRO	12/11/2014	2014000002	MATERIAL FARMACIA	HOSPITAL RAMON Y CAJAL	263733.00	GRIFOLS MOVACO SA		BOCM 19/01/2015	
1173	SUMINISTRO	12/18/2014	388/2015	EQUIP. PROT. COLEC.	HOSPITAL GREGORIO MARAÑON	196661.00	LOGISTICA Y DESARROLLO		BOCM 21/01/2015	
1174	SUMINISTRO	12/18/2014	PA 3/2015 HUP	GUIAS Y MICROGUIAS	HOSPITAL DE LA PRINCESA	103257.00	TERUMO EUROPE ESPAÑA		BOCM 23/01/2015	
1175	SUMINISTRO	12/18/2014	PA 3/2015 HUP	GUIAS Y MICROGUIAS	HOSPITAL DE LA PRINCESA	25773.00	COVIDIEN SPAIN SL		BOCM 23/01/2015	
1176	SUMINISTRO	12/18/2014	PA 3/2015 HUP	GUIAS Y MICROGUIAS	HOSPITAL DE LA PRINCESA	9762.00	MICROFLUX SA		BOCM 23/01/2015	
1177	SUMINISTRO	12/18/2014	PA 3/2015 HUP	GUIAS Y MICROGUIAS	HOSPITAL DE LA PRINCESA	17696.00	COOK ESPAÑA		BOCM 23/01/2015	
1178	SUMINISTRO	11/24/2014	PNSP 31/2014	CINACALCET, ROMIP.	HOSPITAL LA PAZ	1214462.00	AMGEN SA		BOCM 26/01/2015	
1179	SUMINISTRO	12/3/2014	2014000019	DERMATOSCOPIO D.	HOSPITAL RAMON Y CAJAL	91700.00	MAVIG GmbH		BOCM 27/01/2015	
1180	SUMINISTRO	12/3/2014	PNSP 2014-1-075	15 DESFIBRILADORES	HOSPITAL CLINICO SAN CARLOS	360510.00	BOSTON SCIENTIFIC		BOCM 27/01/2015	
1181	SUMINISTRO	12/24/2014	2014-0-33	MAT. SANITARIO	HOSPITAL LA PAZ	710567.00	BAXTER S.L		BOCM 29/01/2015	
1182	SUMINISTRO	12/24/2014	2014-0-73	MAT. RADIOACTIVO	HOSPITAL LA PAZ	183040.00	SIRTEX MEDICAL EUROPE		BOCM 29/01/2015	
1183	SUMINISTRO	12/26/2014	PA  2014-0-22	MAT. SANITARIO	HOSPITAL LA PAZ	201175.00	PALEX MEDICAL		BOCM 29/01/2015	
1184	SUMINISTRO	12/26/2014	2014000006	SUMINIS. RADIOACTIV.	HOSPITAL RAMON Y CAJAL	170821.00	DIAMED IBERICA SA		BOCM 29/01/2015	
1185	SUMINISTRO	12/10/2014	PA 49/2014 HUP	2 T. ENDOSC. 1 ANES.	HOSPITAL DE LA PRINCESA	109832.00	OLYMPUS IBERIA S.A		BOCM 29/01/2015	
1186	SUMINISTRO	12/10/2014	PA 49/2014 HUP	2 T. ENDOSC. 1 ANES.	HOSPITAL DE LA PRINCESA	36300.00	GENERAL ELECTRIC HEAL		BOCM 29/01/2015	
1187	SUMINISTRO	12/26/2014	PACP 2014-1-27	ECOGRAFOS	HOSPITAL DE GETAFE	74294.00	HITACHI MEDICAL SYSTEMS		BOCM 29/01/2015	
1188	SUMINISTRO	12/26/2014	PACP 2014-1-28	EQUIP. MEDICOS	HOSPITAL DE GETAFE	19799.00	GRUPO TAPER SA		BOCM 29/01/2015	
1189	SUMINISTRO	12/9/2014	PNSP 33/2014	MEDICAMENTOS	HOSPITAL LA PAZ	902778.00	UCB PHARMA SA		BOCM 30/01/2015	
1190	SUMINISTRO	12/9/2014	2014-0-64	ENDOPROTESIS AOR.	HOSPITAL LA PAZ	194575.00	CARDIVA 2 SL		BOCM 30/01/2015	
1191	SUMINISTRO	12/9/2014	2014-0-64	ENDOPROTESIS AOR.	HOSPITAL LA PAZ	244882.00	JOTEC CARDIOVASCULAR		BOCM 30/01/2015	
1192	SUMINISTRO	12/15/2014	PNSP 34/2014	MEDICAMENTOS	HOSPITAL LA PAZ	1250310.00	BRISTOL-MYERS SQUIBB SA		BOCM 30/01/2015	
1193	SUMINISTRO	12/16/2014	PNSP 38/2014	MEDICAMENTOS	HOSPITAL LA PAZ	787204.00	BAYER HISPANIA SL		BOCM 30/01/2015	
1194	SUMINISTRO	12/16/2014	PNSP 39/201	MEDICAMENTOS	HOSPITAL LA PAZ	839653.00	MERCK SL UNIPERSONAL		BOCM 30/01/2015	
1195	SUMINISTRO	12/18/2014	36/2014	MEDICAMENTOS	HOSPITAL LA PAZ	1947182.00	NOVARTIS FARMACEUTICA		BOCM 30/01/2015	
1196	SUMINISTRO	12/18/2014	35/2014	MEDICAMENTOS	HOSPITAL LA PAZ	2525241.00	NOVARTIS FARMACEUTICA		BOCM 30/01/2015	
1197	SUMINISTRO	12/18/2014	37/2014	MEDICAMENTOS	HOSPITAL LA PAZ	2062776.00	JANSSEN CILAG S.A		BOCM 30/01/2015	
1198	SUMINISTRO	12/18/2014	PA 2014-0-47	CARTUCHO HEMOP.	HOSPITAL LA PAZ	197817.00	FERRER INTERNATIONAL		BOCM 30/01/2015	
1199	SUMINISTRO	1/9/2015	2014-0-30	MATERIAL SANITARIO	HOSPITAL LA PAZ	963996.00	MOLNLYCKE HEALTK CARE		BOCM 30/01/2015	
1200	SUMINISTRO	1/9/2015	2014-0-30	MATERIAL SANITARIO	HOSPITAL LA PAZ	137900.00	LABORATORIOS HARTMANN		BOCM 30/01/2015	
1201	SUMINISTRO	1/9/2015	2014-0-30	MATERIAL SANITARIO	HOSPITAL LA PAZ	137883.00	LABORATORIOS HARTMANN		BOCM 30/01/2015	
1202	SUMINISTRO	12/24/2014	07-SU-00031.0/2014	POOLES DE PLAQUETAS	CENTRO DE TRANSFUSIONES	717420.00	FRESENIUS KABI ESPAÑA		BOCM 04/02/2015	
1203	SUMINISTRO	12/30/2014	07-SU-00028.5/2014	SUMINISTROS REACTIVOS	CENTRO DE TRANSFUSIONES	2640000.00	ABBOT LAB.		BOCM 04/02/2015	
1204	SUMINISTRO	1/14/2015	PA 8/2015 HUP	SUTURAS MECANICAS	HOSPITAL DE LA PRINCESA	198634.00	COVIDIEN SP. Y JOHNSON		BOCM 04/02/2015	
1205	SUMINISTRO	12/18/2014	GPNSU 2014-2-FAR	MEDICAMENTO BOSENTAN	HOSPITAL PUERTA DE HIERRO (MAJADAHONDA)	1045511.00	ACTELION PHARMACEUT.		BOCM 04/02/2015	
1206	SUMINISTRO	1/8/2015	GPNSU 2014-3-FAR	MEDICAMENTO ECULIZUMAB	HOSPITAL PUERTA DE HIERRO (MAJADAHONDA)	2962290.00	ALEXION PHARMA SPAIN SL		BOCM 04/02/2015	
1207	SUMINISTRO	1/8/2015	GPNSU 2014-5-FAR	SUMINISTRO MEDICAMENTOS	HOSPITAL PUERTA DE HIERRO (MAJADAHONDA)	2049438.00	AMGEN SA		BOCM 04/02/2015	
1208	SUMINISTRO	1/13/2015	GPNSU 2014-1-FAR	SUMINISTRO MEDICAMENTOS	HOSPITAL PUERTA DE HIERRO (MAJADAHONDA)	1526647.00	ABBVIE FARMACEUTICA		BOCM 04/02/2015	
1209	SUMINISTRO	1/2/2015	GPNSU 2014-6-FAR	MEDICAMENTO BEXAROTENE	HOSPITAL PUERTA DE HIERRO (MAJADAHONDA)	101862.00	EISAI FARMACEUTICA SA		BOCM 04/02/2015	
1210	SUMINISTRO	11/26/2014	PACP 2014-1-37	CASCO ESTEROTAXIA	HOSPITAL DE GETAFE	22000.00	PRIM SA		BOCM 04/02/2015	
1211	SUMINISTRO	1/19/2015	2014-0-65	MATERIAL LABORATORIO	HOSPITAL LA PAZ	186146.00	DIAMED IBERICA SA		BOCM 06/02/2015	
1212	SUMINISTRO	1/8/2015	PA 11/2015 HUP	MATERIAL AUTOTRANSFUSION	HOSPITAL DE LA PRINCESA	53460.00	PALEX MEDICAL		BOCM 06/02/2015	
1213	SUMINISTRO	1/19/2015	PA 5/2015 HUP	SIST. CLAVOS ENCER.	HOSPITAL DE LA PRINCESA	167130.00	BIOMET SPAIN ORTHOPAEDICS		BOCM 06/02/2015	
1214	SUMINISTRO	1/13/2015	PA 17/2015 HUP	MEDIOS CREC. LIQUID.	HOSPITAL DE LA PRINCESA	48535.00	BECTON DICKINSON		BOCM 06/02/2015	
1215	SUMINISTRO	1/7/2015	PACP 2014-1-31	FUNGIBLE INYECTOR.	HOSPITAL DE GETAFE	18851.00	MERCE V. ELECTROMED.		BOCM 06/02/2015	
1216	SUMINISTRO	1/7/2015	PACP 2014-1-31	FUNGIBLE INYECTOR.	HOSPITAL DE GETAFE	1089.00	INTERSURGICAL SL		BOCM 06/02/2015	
1217	SUMINISTRO	1/7/2015	PACP 2014-1-31	FUNGIBLE INYECTOR.	HOSPITAL DE GETAFE	11329.00	AZASA HOSPITAL 		BOCM 06/02/2015	
1218	SUMINISTRO	1/7/2015	PACP 2014-1-31	FUNGIBLE INYECTOR.	HOSPITAL DE GETAFE	1210.00	INTRAVEN SL		BOCM 06/02/2015	
1219	SUMINISTRO	1/7/2015	PACP 2014-1-31	FUNGIBLE INYECTOR.	HOSPITAL DE GETAFE	47716.00	EURO AUTOMOTION SL		BOCM 06/02/2015	
1220	SUMINISTRO	1/12/2015	A/SUM-012111/2014	TOXINA BOTULINICA	HOSPITAL DE MOSTOLES	124139.00	ALLERGAN SA		BOCM 06/02/2015	
1221	SUMINISTRO	1/12/2015	A/SUM 012319/2014	MEDICAMENTOS ANTIFUNGICOS	HOSPITAL DE MOSTOLES	31540.00	ASTELLAS PHARMA SA		BOCM 06/02/2015	
1222	SUMINISTRO	1/12/2015	A/SUM 012319/2014	MEDICAMENTOS ANTIFUNGICOS	HOSPITAL DE MOSTOLES	67267.00	PFIZER SLU		BOCM 06/02/2015	
1223	SUMINISTRO	1/12/2015	A/SUM 012319/2014	MEDICAMENTOS ANTIFUNGICOS	HOSPITAL DE MOSTOLES	48415.00	MERC SHARP & DOHME		BOCM 06/02/2015	
