Ejercicio	Descripcion	Servicio Gestor	Proveedor	Importe	Fecha de Pago	Column 7	Column 8
2015	CERTIFICACIÓN 01/15. ENERO 2015. SERVI. TTE. URBANO DE VIAJEROS POR AUTOBÚS EN ZARAGOZA. AUZSA.	SERVICIO DE MOVILIDAD URBANA	AVANZA ZARAGOZA S.A.U.	2914316.74	27/04/15		
2015	CERTIFICACIÓN 05/15. ABRIL 2015. SERVICIO TRANSPORTE URBANO DE VIAJEROS POR AUTOBÚS EN ZARAGOZA. AUZSA.	SERVICIO DE MOVILIDAD URBANA	AVANZA ZARAGOZA S.A.U.	2869092.56	29/07/15		
2015	CERTIFICACIÓN 08/15. JULIO 2015. SERVICIO TRANSPORTE URBANO DE VIAJEROS POR AUTOBÚS EN ZARAGOZA. AUZSA.	SERVICIO DE MOVILIDAD URBANA	AVANZA ZARAGOZA S.A.U.	2822722.2	30/10/15		
2015	CERTIFICACIÓN 06/15. MAYO 2015. SERVICIO TRANSPORTE URBANO DE VIAJEROS POR AUTOBÚS EN ZARAGOZA. AUZSA.	SERVICIO DE MOVILIDAD URBANA	AVANZA ZARAGOZA S.A.U.	2598672.88	28/08/15		
2015	CERTIFICACIÓN 03/15. MARZO 2015. SERVICIO TRANSPORTE URANO DE VIAJEROS POR AUTOBÚS EN ZARAGOZA. AUZSA.	SERVICIO DE MOVILIDAD URBANA	AVANZA ZARAGOZA S.A.U.	2564323.59	30/06/15		
2015	CERTIFICACIÓN 02/15.FEBRERO 2015. SERV.TTE. URBANOS DE VIAJEROS POR AUTOBÚS EN ZARAGOZA. AUZSA.	SERVICIO DE MOVILIDAD URBANA	AVANZA ZARAGOZA S.A.U.	2476029.65	25/05/15		
2015	Revisión Precios nº 21-año 2008-de la contrata de limpieza pública, recogida y tratamiento resi. según acuerdo Gobierno Zaragoza de 22-5-2015,expt 204525/09-Factura Electrónica: SM1670/1002713	SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	FCC-SA	2406746.25	24/06/15		
2015	CERTIFICACIÓN Nº 2/2015. 1 ENERO 2015 A 31 MARZO 2015. LÍNEA DEL TRANVÍA.	SERVICIO DE MOVILIDAD URBANA	SDAD-ECONOMIA-MIXTA-TRANV-ZGZ-SA	2404868.69	20/05/15		
2015	CERTIFICACIÓN 12/14. NOVIEMBRE 2014. SERVICIO TRANSPORTE URBANO VIAJEROS POR AUTOBÚS EN ZARAGOZA. AUZSA.	SERVICIO DE MOVILIDAD URBANA	AVANZA ZARAGOZA S.A.U.	2371941.76	26/02/15		
2015	ABONO AUTO EJECUCIÓN PROVISIONAL SENTENCIA APELADA 160/2013 A-1 JCA Nº 3. AUTOCARES SAMAR BUIL SL, ALOSA, AUTOCARES Y AUTOBUSES SL, ÁGREDA AUTOMÓVIL SA Y AUTOMÓVILES ZARAGOZA SA.	SERVICIO DE MOVILIDAD URBANA	MINISTERIO DE JUSTICIA	2300000.0	30/07/15		
2015	CERTIFICACIÓN 13/14. DICIEMBRE 2014. SERVICIO TRANSPORTE URBANO VIAJEROS POR AUTOBÚS EN ZARAGOZA. AUZSA.	SERVICIO DE MOVILIDAD URBANA	AVANZA ZARAGOZA S.A.U.	2288480.35	26/03/15		
2015	Factura Electrónica: 2015/ZAR/19	CICLO INTEGRAL DEL AGUA	AGUAS-DE-LAS CUENCAS DE ESPAÑA, S.A.	2255901.67	11/02/16		
2015	CERTIFICACIÓN 4/2015. 1 JULIO 2015 A 30 SEPTIEMBRE 2015. LÍNEA 1 DEL TRANVÍA.	SERVICIO DE MOVILIDAD URBANA	SDAD-ECONOMIA-MIXTA-TRANV-ZGZ-SA	2230564.09	30/12/15		
2015	CERIFICACIÓN 11/15. TERCER PARCIAL AGOSTO 2015. SERV. TTE. URBANO VIAJEROS POR AUTOBÚS EN EL TÉRMINO MUNICIPAL DE ZARAGOZA. AUZSA.	SERVICIO DE MOVILIDAD URBANA	AVANZA ZARAGOZA S.A.U.	2189417.17	12/01/16		
2015	Suministro de agua dle Sistema Yesa-Sora-Bardenas 1/3/15 al 31/8/15	CICLO INTEGRAL DEL AGUA	AGUAS-DE-LAS CUENCAS DE ESPAÑA, S.A.	2152604.51	11/03/16		
2015	CERTIFICACIÓN Nº 4 - OBRAS SELLADO FASE I - EXPTE. 690.399/2013	SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	UTE SELLADO VERTEDERO VALMADRID	1818818.12	04/09/15		
2015	CERTIFICACIÓN 11/14. LIQUIDACIÓN PARCIAL OCTUBRE 2014 (FINAL). SERVICIO TRANSPORTE URBANO VIAJEROS POR AUTOBÚS DE LA CIUDAD DE ZARAGOZA. AUZSA-	SERVICIO DE MOVILIDAD URBANA	AVANZA ZARAGOZA S.A.U.	1711077.53	28/01/15		
2015	Factura Electrónica: 003631432330	UNIDAD DE INVENTARIO Y GESTIÓN PATRIMONIAL	ZURICH INSURANCE PLC	1373872.91	18/03/15		
2015	CUOTA ANUAL 2105 ARRENDAMIENTO CÉSPED ARTIFICIAL Y EQUIPAMIENTO DEPORTIVO PARA CC.MM.FF.	SERVICIO DE INSTALACIONES DEPORTIVAS	MONDO-IBERICA-SA	1113050.89	04/09/15		
2015	PARCIAL - CERTIFICACION Nº 81 SEPTIEMBRE 2015 EXPLOTACION COMPLEJO RESIDUOS URBANOS	SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	URBASER-SA-Y-VERTEDEROS-DE-RESID	1101739.41	08/03/16		
2015	CERTIFICACIÓN Nº 5 - OBRAS SELLADO FASE I - EXPTE. 690.399/2013	SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	UTE SELLADO VERTEDERO VALMADRID	1091276.59	30/09/15		
2015	CERTIFICACIÓN 5 (MAYO 2015) ZONAS VERDES SECTOR 1 - FCC	SERVICIO DE PARQUES Y JARDINES	FCC-SA	1082919.21	31/12/15		
2015	CERTIFICACIÓN Nº  6 - OBRAS SELLADO FASE I - EXPTE. 690.399/2013	SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	UTE SELLADO VERTEDERO VALMADRID	1071962.17	30/09/15		
2015	CERTIFICACIÓN 6 (JUNIO 2015) ZONAS VERDES SECTOR 1 - FCC	SERVICIO DE PARQUES Y JARDINES	FCC-SA	1040326.33	15/01/16		
2015	Pº A CUENTA PRIMER SEMESTRE 2015. SERV.PÚBLICO TTE. ZARAGOZA-CASETAS. SUBVENCIÓN.	SERVICIO DE MOVILIDAD URBANA	AGREDA-AUTOMOVIL-SA	1026800.0	06/05/15		
2015	Pº A CUENTA SEGUNDO SEMESTRE 2015. SERV. TTE.PUB. CASETAS-ZARAGOZA. SUBVENCIÓN.	SERVICIO DE MOVILIDAD URBANA	AGREDA-AUTOMOVIL-SA	1026800.0	21/07/15		
2015	CERTIFICACIÓN 7 (JULIO 2015)	SERVICIO DE PARQUES Y JARDINES	FCC-SA	1003931.27	15/01/16		
2015	CERTIFICACION 4 (ABRIL 2015) ZONAS VERDES SECTOR I A FCC	SERVICIO DE PARQUES Y JARDINES	FCC-SA	995273.59	31/12/15		
2015	Proyecto Urbanizacion Corredor Verde Oliver-Valdefierro Fase IIb (s/ revisión de peocios de julio de 2014)	SERVICIO DE INGENIERIA DE DESARROLLO URBANO	ACCIONA-Y-CONT-MAR-LOPEZ-UTE	961988.36	30/12/16		
2015	ELECTRICIDAD ENERO ALUMBRADO PUBLICO	EQUIPAMIENTOS INSTALACIONES	GAS-NATURAL-COMERCIALIZADORA-SA	942415.04	30/04/15		
2015	ELECTRICIDAD DICIEMBRE ALUMBRADO PUBLICO	EQUIPAMIENTOS INSTALACIONES	GAS-NATURAL-COMERCIALIZADORA-SA	919135.54	30/04/15		
2015	Factura Electrónica: SM1670/1002115	SERVICIO DE PARQUES Y JARDINES	FCC-SA	913800.76	29/05/15		
2015	ABONO FACTURA EULEN S.A. LIMPIEZA MANTENIMIENTO EN COLEGIOS AYUNTAMIENTO ZARAGOZA Y  PABELLONES ADSCRITOS A ELLOS MES DE SEPTIEMBRE 2015.	EQUIPAMIENTOS INSTALACIONES	EULEN-SA	910436.04	25/11/15		
2015	CERTIFICACION Nº 3 - OBRAS SELLADO FASE I - EXPTE 690.399/2013 Factura Electrónica: 2015062414	SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	UTE SELLADO VERTEDERO VALMADRID	908600.29	11/06/15		
2015	CERTIFICACIÓN 11 (Noviembre 2014) Zonas Verdes I a FCC	SERVICIO DE PARQUES Y JARDINES	FCC-SA	898787.77	30/09/15		
2015	mantenimiento en colegios y pabellones mes octubre 2015	EQUIPAMIENTOS INSTALACIONES	EULEN-SA	891579.8	20/01/16		
2015	ABONO FACTURA EULEN S.A. CERTIFICACION JUNIO 2015. SERVICIO LIMPIEZA COLEGIOS PUBLICOS Y PABELLONES ADSCRITOS A ELLOS.	EQUIPAMIENTOS INSTALACIONES	EULEN-SA	880527.07	02/09/15		
2015	Factura Electrónica: SM1670/1002053	SERVICIO DE PARQUES Y JARDINES	FCC-SA	866180.37	29/05/15		
2015	Certificación Nº 11 (Noviembre 2015) Zonas Verdes - Sector I- FCC	SERVICIO DE PARQUES Y JARDINES	FCC-SA	858347.56	06/05/16		
2015	CERTIFICACIÓN Nº 82 - OCTUBRE 2015 - EXPLOTACION COMPLEJO  RESIDUOS URBANOS	SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	URBASER-SA-Y-VERTEDEROS-DE-RESID	854702.76	26/02/16		
2015	Certificación Nº10 (Octubre 2015) zonas verdes sector 1 - fcc	SERVICIO DE PARQUES Y JARDINES	FCC-SA	849895.65	29/04/16		
2015	ABONO FACTURA EULEN S.A. CERTIFICACION MAYO 2015. Sº LIMPIEZA COLEGIOS PUBLICOS Y PABELLONES POLIDEPORTIVOS ADSCRITOS A ELLOS.	EQUIPAMIENTOS INSTALACIONES	EULEN-SA	848474.63	08/07/15		
2015	Factura Electrónica: 2851914	EQUIPAMIENTOS INSTALACIONES	EULEN-SA	846609.46	30/04/15		
2015	Certificación 3 de marzo 2015 Zonas Verdes Sector I	SERVICIO DE PARQUES Y JARDINES	FCC-SA	846201.2	30/09/15		
2015	Certificación 1 enero 2015 Zonas Verdes Sector I	SERVICIO DE PARQUES Y JARDINES	FCC-SA	843828.41	30/09/15		
2015	Certificación 2 de Febrero 2015 (Zonas Verdes Sector I)	SERVICIO DE PARQUES Y JARDINES	FCC-SA	842572.07	30/09/15		
2015	CERTIFICACIÓN Nº 83 - NOVIEMBRE 2015 - EXPLOTACIÓN COMPLEJO RESIDUOS URBANOS.	SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	URBASER-SA-Y-VERTEDEROS-DE-RESID	839849.35	26/02/16		
2015	Factura Electrónica: SM1670/1001281	SERVICIO DE PARQUES Y JARDINES	FCC-SA	838063.42	30/04/15		
2015	ELECTRICIDAD FEBRERO ALUMBRADO PUBLICO	EQUIPAMIENTOS INSTALACIONES	GAS-NATURAL-COMERCIALIZADORA-SA	833845.26	02/06/15		
2015	CERTIFICACIÓN Nº 77 - MAYO 2015 - EXPLOTACIÓN COMPLEJO RESIDUOS URBANOS	SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	URBASER-SA-Y-VERTEDEROS-DE-RESID	828027.51	30/09/15		
2015	Factura Electrónica: 00010FACT_150001	SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	URBASER-SA-Y-VERTEDEROS-DE-RESID	824931.43	27/02/15		
2015	CERTIFICACIÓN Nº 78 - JUNIO 2015 - EXPLOTACIÓN COMPLEJO RESIDUOS URBANOS	SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	URBASER-SA-Y-VERTEDEROS-DE-RESID	820906.41	02/09/15		
2015	e-Factura: SM1670/1003083	SERVICIO DE PARQUES Y JARDINES	FCC-SA	820309.18	13/01/17		
2015	CERTIFICACIÓN Nº 79 - JULIO 2015 - EXPLOTACIÓN COMPLEJO RESIDUOS URBANOS.	SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	URBASER-SA-Y-VERTEDEROS-DE-RESID	818597.97	30/09/15		
2015	REDACCIÓN PROYECTO, CONTRUCCIÓN Y EXPLOTACIÓN COMPLEJO PARA TRATAMIENTO RESIDUOS URBANOS DE ZARAGOZA	SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	URBASER-SA-Y-VERTEDEROS-DE-RESID	810217.61	27/02/15		
2015	Factura Electrónica: 2865105	EQUIPAMIENTOS INSTALACIONES	EULEN-SA	808470.25	06/05/15		
2015	CERTIFICACIÓN Nº 75 - MARZO 2015 - EXPLOTACIUÓN COMPLEJO RESIDUOS URBANOS - Factura Electrónica: 00010FACT150004	SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	URBASER-SA-Y-VERTEDEROS-DE-RESID	802789.55	02/06/15		
2015	CERTIFICACIÓN Nº 76 - ABRIL 2015 - EXPLOTACIÓN COMPLEJO RESIDUOS URBANOS - Factura Electrónica: 00010FACT150005	SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	URBASER-SA-Y-VERTEDEROS-DE-RESID	802209.88	02/06/15		
2015	LIMPIEZA COLEGIOS Y PABELLONES NOVIEMBRE - (1/2)	EQUIPAMIENTOS INSTALACIONES	EULEN-SA	790720.7	15/01/16		
2015	Factura Electrónica: 00010FACT150002	SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	URBASER-SA-Y-VERTEDEROS-DE-RESID	786484.64	14/04/15		
2015	CERT. Nº 4 RENOVACIÓN RED DE ABASTYECIMIENTO EN Pº Mª AGUSTIN ENTRE PLZA. EUROPA Y AVDA. MADRID	SERVICIO DE CONSERVACION DE INFRAESTRUCTURAS	IDECON-SA	786083.66	30/12/15		
2015	Factura Electrónica: 00010FACT150003	SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	URBASER-SA-Y-VERTEDEROS-DE-RESID	758074.23	06/05/15		
2015	ELECTRICIDAD MARZO ALUMBRADO PUBLICO	EQUIPAMIENTOS INSTALACIONES	GAS-NATURAL-COMERCIALIZADORA-SA	750365.82	05/06/15		
2015	Factura Electrónica: 2871467	EQUIPAMIENTOS INSTALACIONES	EULEN-SA	721915.43	28/05/15		
2015	ELECTRICIDAD ALUMBRADO PUBLICO ABRIL	EQUIPAMIENTOS INSTALACIONES	GAS-NATURAL-COMERCIALIZADORA-SA	701544.91	23/07/15		
2015	Factura Electrónica: 2845590	EQUIPAMIENTOS INSTALACIONES	EULEN-SA	681794.47	30/04/15		
2015	CERTIFICACIÓN 04/15. LIQUIDACIÓN ANUAL 2013 SERVICIO TRANSPORTE URBANO DE VIAJEROS POR AUTOBÚS EN ZARAGOZA. AUZSA.	SERVICIO DE MOVILIDAD URBANA	AVANZA ZARAGOZA S.A.U.	679528.52	20/07/15		
2015	ABONO FACTURA EULENS.A. CERTIFICACION DICIEMBRE 2014,Sº LIMPIEZA COLEGIOS PUBLICOS Y PABELLONES POLIDEPORTIVOSADSCRITOSA ELLOS.	UNIDAD DE PLANIFICACIÓN DE ARQUITECTURA	EULEN-SA	678440.73	29/04/15		
2015	CERTIFICACIÓN Nº 1 - OBRAS SELLADO FASE I - CER	SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	UTE SELLADO VERTEDERO VALMADRID	670514.93	24/04/15		
2015	Certificicación 9/15 correspondiente liquidación provisional PARCIAL 1 mes AGOSTO 2015	COORDINACIÓN GENERAL DEL AREA DE SERV.PÚBLICOS	AVANZA ZARAGOZA S.A.U.	669978.11	02/12/15		
2015	CERT. Nº 3. OCTUBRE. RENOVACION RED ABASTECIMIENTO Pº Mª AGUSTIN ENTRE PLZ. EUROPA-AVDA MADRID.	SERVICIO DE CONSERVACION DE INFRAESTRUCTURAS	IDECON-SA	650719.38	25/11/15		
2015	ELECTRICIDAD JUNIO ALUMBRADO PUBLICO	EQUIPAMIENTOS INSTALACIONES	GAS-NATURAL-COMERCIALIZADORA-SA	636427.14	30/09/15		
2015	CERTIFICACIÓN 9 (Septiembre 2015) Zonas Verdes Sector I a FCC	SERVICIO DE PARQUES Y JARDINES	FCC-SA	600000.0	21/01/16		
2015	ELECTRICIDAD MAYO ALUMBRADO PUBLICO	EQUIPAMIENTOS INSTALACIONES	GAS-NATURAL-COMERCIALIZADORA-SA	594220.89	23/07/15		
2015	ELECTRICIDAD AGOSTO ALUMBRADO PUBLICO	EQUIPAMIENTOS INSTALACIONES	GAS-NATURAL-COMERCIALIZADORA-SA	577011.45	28/10/15		
2015	CERTIFICACIÓN 8 PARCIAL (AGOSTO 2015) ZONAS VERDES SECTOR 1 - FCC	SERVICIO DE PARQUES Y JARDINES	FCC-SA	571322.6	15/01/16		
2015	CERT. Nº 4 MAYO 2015. OPERACION ASFALTO.	SERVICIO DE CONSERVACION DE INFRAESTRUCTURAS	CONSTR-MARIANO-LOPEZ-NAV-SAU-Y	569893.06	02/07/15		
2015	CERTIFICACIÓN Nº 8 - OBRAS SELLADO VERTEDERO - FASE I - EXPTE. 690.399/2013	SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	UTE SELLADO VERTEDERO VALMADRID	559436.45	25/11/15		
2015	ELECTRICIDAD JULIO ALUMBRADO PUBLICO	EQUIPAMIENTOS INSTALACIONES	GAS-NATURAL-COMERCIALIZADORA-SA	544590.84	30/09/15		
2015	CERTIFICACIÓN Nº 2 - OBRAS SELLADO FASE I - EXPTE. 690.399/2013 - Factura Electrónica: 2	SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	UTE SELLADO VERTEDERO VALMADRID	532964.85	28/05/15		
2015	PARCIAL - CERTIFICACIÓN Nº 80 - AGOSTO 2015 - EXPLOTACIÓN COMPLEJO RESIDUOS URBANOS	SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	URBASER-SA-Y-VERTEDEROS-DE-RESID	526540.12	10/11/15		
2015	TRAJES INTERVENCION BOMBEROS ACUERDO MARCO	SECCION DE APOYO OPERATIVO	SAGRES-SL	519222.04	20/01/16		
2015	PRESTAC.DOMICILIARIAS ZONA II JULIO	S. SOCIALES COMUNITARIOS	CLECE-SA	518443.03	05/11/15		
2015	Certificación nº 6 obra Acondiconamiento de la Avda Alcalde Caballero	SERVICIO TÉCNICO DE INFRAESTRUCTURAS	UTE-CONS-MARIANO-LOPEZ-NAV-SAU	507803.7	15/01/16		
2015	CERTIFICACIÓN Nº 9 - OBRAS SELLADDO VERTEDERO - FASE I - EXPTE. 690.399/2013	SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	UTE SELLADO VERTEDERO VALMADRID	504289.72	18/12/15		
2015	PRESTACIONES DOMICILIARIAS ZONA II JUNIO	S. SOCIALES COMUNITARIOS	CLECE-SA	500088.5	30/09/15		
2015	CERT. Nº 3 OPERACION ASFALTO 2015.	SERVICIO DE CONSERVACION DE INFRAESTRUCTURAS	CONSTR-MARIANO-LOPEZ-NAV-SAU-Y	499599.73	02/06/15		
2015	PRESTACIONES DOMICILIARIAS ZONA II SEPTIEMBRE	S. SOCIALES COMUNITARIOS	CLECE-SA	494671.04	21/01/16		
2015	CERTIFICACIÓN Nº 9 - OBRAS SELLADDO VERTEDERO - FASE I - EXPTE. 690.399/2013	SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	UTE SELLADO VERTEDERO VALMADRID	491114.26	18/12/15		
2015	CERT. Nº 2 OPERACION ASFLTO 2015.	SERVICIO DE CONSERVACION DE INFRAESTRUCTURAS	CONSTR-MARIANO-LOPEZ-NAV-SAU-Y	487909.34	15/05/15		
2015	FACTURA CORRESPONDIENTE A TRABAJOS EN COLEGIOS PUBLICOS CON EMPRESAS DE INSERCIÓN LABORAL, CERTIFICACIÓN 3 DEL MES DE AGOSTO	SERVICIO ADMTVO. DE  FOMENTO Y TURISMO	MONCOBRA-SA	477925.42	28/10/15		
2015	PRESTACIONES DOMICILIARIAS DICIEMBRE 2014 ZONA II	S. SOCIALES COMUNITARIOS	CLECE-SA	477670.24	27/02/15		
2015	PARCIAL - CERTIFICACIÓN  Nº 88 - AGOSTO 2015 - LIMPIEZA  RECOGIDA Y TRANSPORTE DE RESIDUOS URBANOS DE ZARAGOZA	SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	FCC-SA	477390.6	21/01/16		
2015	Factura Electrónica: 005560000315FAC	S. SOCIALES COMUNITARIOS	CLECE-SA	473623.91	25/06/15		
2015	ELECTRICIDAD FEBRERO ADMINISTRATIVOS, SOCIALES Y CULTURALES	EQUIPAMIENTOS INSTALACIONES	GAS-NATURAL-COMERCIALIZADORA-SA	470915.71	02/06/15		
2015	RO PRESTACIONES DOMICILIARIAS ZONA II AGOSTO	S. SOCIALES COMUNITARIOS	CLECE-SA	466951.49	17/12/15		
2015	SAD, SAAD Y CARGAS FAMILIARES NOVIEMBRE UT II	S. SOCIALES COMUNITARIOS	CLECE-SA	457011.61	25/02/15		
2015	RO PRESTACIONES DOMICILIARIAS ZONA II NOVIEMBRE 2015	S. SOCIALES COMUNITARIOS	CLECE-SA	455006.06	06/05/16		
2015	ELECTRICIDAD ENERO ADMINISTRATIVOS, SOCIALES Y CULTURALES	EQUIPAMIENTOS INSTALACIONES	GAS-NATURAL-COMERCIALIZADORA-SA	452370.03	30/04/15		
2015	PRESTACIONES DOMICILIARIAS ZONA II	S. SOCIALES COMUNITARIOS	CLECE-SA	452089.92	30/09/15		
2015	Factura Electrónica: 005560000215FAC	S. SOCIALES COMUNITARIOS	CLECE-SA	450804.81	09/06/15		
2015	ABONO FACTURA FERROSER SERVICIOS AUXILIARES S.A. CERTIFICACION JUNIO 2015 Sº LIMPIEZA DEPENDENCIAS MUNICIPALES USO SOCIAL Y CULTURAL.	EQUIPAMIENTOS INSTALACIONES	FERROSER SERVICIOS AUXILIARES S.A.	449994.14	04/08/15		
2015	Factura Electrónica: FBV2I0010096	EQUIPAMIENTOS INSTALACIONES	FERROSER SERVICIOS AUXILIARES S.A.	448386.24	15/05/15		
2015	CERTIFICACION Nº 6 CONSERVACION Y MANTENIMIENTO ALUMBRADO PUBLICO (CUOTA FIJA)	SERVICIO TÉCNICO DE INFRAESTRUCTURAS	UTE ALUMBRADO ZARAGOZA	446286.62	20/01/16		
2015	ABONO FACTURA EUROLIMP S.A. CERTIFICACION OCTUBRE 2015. SERVICIO DE LIMPIEZA DEPENDENCIAS MUNICIPALES USO SOCIAL Y CULTURAL.	EQUIPAMIENTOS INSTALACIONES	FERROSER SERVICIOS AUXILIARES S.A.	441803.1	23/12/15		
