centro	actividad	quien	importe	date
EQUIPAMIENTOS INSTALACIONES	SUMINISTROS DE ELECTRICIDAD	GAS-NATURAL-COMERCIALIZADORA-SA	1486504.54	30/09/16
EQUIPAMIENTOS INSTALACIONES	SUMINISTRO ELECTRICIDAD	GAS-NATURAL-COMERCIALIZADORA-SA	1468419.37	31/08/16
EQUIPAMIENTOS INSTALACIONES	SUMINISTROS DE ELETRICIDAD	GAS-NATURAL-COMERCIALIZADORA-SA	1432735.19	18/11/16
SERVICIO DE MOVILIDAD URBANA	CERTIFICACIÓN 01/16. ENERO 2016. SERVICIO PÚBLICO TRANSPORTE URBANO DE VIAJEROS POR AUTOBÚS. AUZSA. SUBVENCIÓN.	AVANZA ZARAGOZA S.A.U.	1402294.68	27/05/16
EQUIPAMIENTOS INSTALACIONES	SUMINISTROS DE ELECTRICIDAD	GAS-NATURAL-COMERCIALIZADORA-SA	1302219.98	30/11/16
UNIDAD DE INVENTARIO Y GESTIÓN PATRIMONIAL	SEGURO RESPONSABILIDAD CIVIL PÓLIZA Nº  003996781780 AÑO 2016	ZURICH INSURANCE PLC	1295030	24/02/16
SERVICIO DE INSTALACIONES DEPORTIVAS	CUOTA 2016 ARRENDAMIENTO CÉSPED ARTIFICIAL, EQUIPAMIENTO E INSTALACIONES TÉCNICAS PARA LOS CC.MM.FF.	MONDO-IBERICA-SA	1113049.97	22/08/16
SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	CERTIFICACION Nº 100 - AGOSTO 2016 - LIMPIEZA, RECOGIDA Y TRANSPORTE DE RESIDUOS URBANOS DE ZARAGOZA	FCC-SA	1034970.27	16/02/17
SERVICIO DE MOVILIDAD URBANA	PAGO A CUENTA 1º SEMESTRE 2016. SERV. TTE. VIAJEROS ZARAGOZA-CASETAS. SUBVENCIÓN.	AGREDA-AUTOMOVIL-SA	1026800	08/04/16
SERVICIO DE MOVILIDAD URBANA	PAGO A CUENTA 2º SEMESTRE 2016. SERVICIO TRANSPORTE VIAJEROS ZARAGOZA-CASETAS	AGREDA-AUTOMOVIL-SA	1026800	30/12/16
EQUIPAMIENTOS INSTALACIONES	SUMINISTROS ELECTRICIDAD	GAS-NATURAL-COMERCIALIZADORA-SA	1008770.2	10/05/16
SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	PARCIAL-CERTIFICACIÓN 101-SEPTIEMBRE 2016- LIMPIEZA, RECOGIDA Y TRANSPORTE DE RESIDUOS URBANOS DE ZARAGOZA	FCC-SA	1004143	29/12/16
EQUIPAMIENTOS INSTALACIONES	ABONO FACTURA EULEN S.A. CERTIFICACION SEPTIEMBRE 2016 LIMPIEZA MANTENIMIENTO COLEGIOS Y PABELLONES ADSCRITOS A ELLOS.	EULEN-SA	919690.18	18/11/16
EQUIPAMIENTOS INSTALACIONES	ABONO FACTURA EULEN S.A. CERTIFICACION FEBRERO 2016 LIMPIEZA  COLEGIOS PUBLICOS Y PABELLONES POLIDEPORTIVOS ADSCRITOS A ELLOS.	EULEN-SA	902286.63	08/04/16
EQUIPAMIENTOS INSTALACIONES	ABONO FACTURA EULEN S.A. CERTIFICACION MAYO 2016.SERVICIO LIMPIEZA COLEGIOS PUBLICOS Y PABELLONES POLIDEPORTIVOS ADSCRITOS A ELLOS.	EULEN-SA	898780.45	05/09/16
EQUIPAMIENTOS INSTALACIONES	ABONO FACTURA EULEN S.A. LIMPIEZA COLEGIOS AYUNTAMIENTO Y PABELLONES ADSCRITOS A ELLOS MES DE JUNIO DE 2016.	EULEN-SA	897309.89	22/08/16
EQUIPAMIENTOS INSTALACIONES	SUMINISTROS ELECTRICIDAD	GAS-NATURAL-COMERCIALIZADORA-SA	868564.34	08/04/16
EQUIPAMIENTOS INSTALACIONES	ABONO FACTURA  EULEN S.A. LIMPIEZA COLEGIOS OCTUBRE 2016	EULEN-SA	868139.64	30/12/16
SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	CERTIFICACIÓN Nº 90 - JUNIO 2016 - EXPLOTACIÓN COMPLEJO TRATAMIENTO RESIDUOS.	URBASER-SA-Y-VERTEDEROS-DE-RESID	863580.1	07/09/16
SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	CERTIFICACIÓN Nº 89 - MAYO 2016 - EXPLOTACIÓN COMPLEJO TRATAMIENTO RESIDUOS	URBASER-SA-Y-VERTEDEROS-DE-RESID	863429.06	29/07/16
EQUIPAMIENTOS INSTALACIONES	ABONO FACTURA EULEN S.A. LIMPIEZA MANTENIMIENTO COLEGIOS Y PABELLONES ADSCRITOS ABRIL 2016.	EULEN-SA	857253.49	13/06/16
SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	CERTIFICACIÓN Nº 88 - ABRIL 2016 - EXPLOTACIÓN COMPLEJO TRATAMIENTO RESIDUOS	URBASER-SA-Y-VERTEDEROS-DE-RESID	848529.55	28/06/16
SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	CERTIFICACIÓN Nº 91 - JULIO 2016 - EXPLOTACIÓN COMPLEJO TRATAMIENTO RESIDUOS	URBASER-SA-Y-VERTEDEROS-DE-RESID	838945.38	30/09/16
SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	CERTIFICACIÓN Nº 84 - DICIEMBRE 2015 - EXPLOTACIÓN COMPLEJO RESIDUOS URBANOS	URBASER-SA-Y-VERTEDEROS-DE-RESID	838090.92	26/02/16
SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	CERTIFICACIÓN Nº 87 - MARZO 2016 - EXPLOTACIÓN COMPLEJO TRATAMIENTO RESIDUOS.	URBASER-SA-Y-VERTEDEROS-DE-RESID	832144.61	23/06/16
SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	CERTIFICACIÓN Nº 85 - ENERO 2016 - EXPLOTACIÓN COMPLEJO DE RESIDUOS	URBASER-SA-Y-VERTEDEROS-DE-RESID	829725.46	08/04/16
SERVICIO DE PARQUES Y JARDINES	Certificación nº 5. Contrato Zonas Verdes. Zona I	FCC-SA	819651.64	13/07/16
SERVICIO DE PARQUES Y JARDINES	CERTIFICACIÓN 8 (agosto 2016) CONSERVACIÓN ZONAS VERDES SECTOR I	FCC-SA	819651.64	30/12/16
SERVICIO DE PARQUES Y JARDINES	CERTIFICACION 7 (Julio 2016) Zonas Verdes (Sector I) FCC	FCC-SA	819651.64	14/10/16
SERVICIO DE PARQUES Y JARDINES	Certificación 10 (octubre) Zonas Verdes Sector I	FCC-SA	819624.05	13/01/17
SERVICIO DE PARQUES Y JARDINES	CERTIFICACIÓN 9 (septiembre 2016) CONSERVACIÓN ZONAS VERDES SECTOR I	FCC-SA	819624.05	30/12/16
SERVICIO DE PARQUES Y JARDINES	Certificación nº 4/2016 (Abril). Contrato Zonas Verdes. Zona I FCC	FCC-SA	819514.15	13/07/16
SERVICIO DE PARQUES Y JARDINES	Certificación nº 1 (Enero). Contrato Zonas Verdes. FCC	FCC-SA	819376.67	13/07/16
SERVICIO DE PARQUES Y JARDINES	Certificación nº3/2016 (Marzo) Contrato Zonas Verdes. Zona I FCC	FCC-SA	819376.67	13/07/16
SERVICIO DE PARQUES Y JARDINES	Certificación nº 2/2016 (Febrero). Contrato Zonas Verdes. Zona I. FCC	FCC-SA	819376.67	13/07/16
SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	CERTIFICACIÓN Nº 86 - FEBRERO 2016 - EXPLOTACIÓN COMPLEJO TRATAMIENTO RESIDUOS.	URBASER-SA-Y-VERTEDEROS-DE-RESID	818167.06	19/05/16
SERVICIO DE PARQUES Y JARDINES	CERTIFICACIÓN 6 (JUNIO) 2016  ZONAS VERDES (Sector I)  FCC	FCC-SA	808761.64	14/10/16
SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	CERTIFICACIÓN Nº 93 - SEPTIEMBRE 2016 - EXPLOTACIÓN COMPLEJO TRATAMIENTO RESIDUOS	URBASER-SA-Y-VERTEDEROS-DE-RESID	799388.6	22/02/17
EQUIPAMIENTOS INSTALACIONES	SUMINISTROS ELECTRICIDAD	GAS-NATURAL-COMERCIALIZADORA-SA	788234.32	05/05/16
EQUIPAMIENTOS INSTALACIONES	ABONO FACTURA EULEN S.A. CERTIFICACION MARZO 2016 Sº LIMPIEZA COLEGIOS PUBLICOS Y PABELLONES POLIDEPORTIVOS ADSCRITOS A ELLOS.	EULEN-SA	734367.25	09/05/16
EQUIPAMIENTOS INSTALACIONES	SUMINISTRO ELECTRICIDAD 2015	GAS-NATURAL-COMERCIALIZADORA-SA	732740.18	06/05/16
EQUIPAMIENTOS INSTALACIONES	ABONO FACTURA EULEN S.A. CERTIFICACION MES DE NOVIEMBRE 1/4 LIMPIEZA COLEGIOS PUBLICOS.	EULEN-SA	697879.59	11/01/17
SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	CERTIFICACION Nº 100 - AGOSTO 2016 - LIMPIEZA, RECOGIDA Y TRANSPORTE DE RESIDUOS URBANOS DE ZARAGOZA	FCC-SA	697000	13/01/17
EQUIPAMIENTOS INSTALACIONES	FACTURA ELECTRONICA EULEN S.A. CERTIFICACION DICIEMBRE 2015 LIMIEZA MANTENIMIENTO COLEGIOS AYUNTAMIENTO	EULEN-SA	650066.78	07/04/16
EQUIPAMIENTOS INSTALACIONES	ABONO FACTURA EULEN S.A CERTIFICCION ENERO 2016 LIMPIEZA MANTENIMEINTO COLEGIOS AYUNTAMIENTO ZARAGOZA	EULEN-SA	613821.4	07/04/16
SERVICIO DE PARQUES Y JARDINES	Certificación 11 (noviembre 2016) PARCIAL - Zonas Verdes  Sector I	FCC-SA	558045	13/01/17
S. SOCIALES COMUNITARIOS	RO PRESTACIONES DOMICILIARIAS ZONA II JUNIO	CLECE-SA	501991.55	20/10/16
EQUIPAMIENTOS INSTALACIONES	SUMINISTROS ELECTRICIDAD	GAS-NATURAL-COMERCIALIZADORA-SA	497961.53	06/05/16
S. SOCIALES COMUNITARIOS	RO PRESTACIONES DOMICILIARIAS ZONA II SEPTIEMBRE	CLECE-SA	494027.58	30/12/16
SERVICIO TÉCNICO DE LIMPIEZA PÚBLICA Y GESTIÓN DE RESIDUOS	PARCIAL - CERTIFICACIÓN Nº 92 - AGOSTO 2016 - EXPLOTACIÓN COMLEJO TRATAMIENTO RESIDUOS.	URBASER-SA-Y-VERTEDEROS-DE-RESID	492049.88	30/12/16
SERVICIO DE MOVILIDAD URBANA	CERTIF. 3/2016. PERÍODO 1-7-16 A 7-11-16. MANTENIMIENTO Y CONSERVACIÓN DE LA SEÑALIZACIÓN HORIZONTAL Y VERTICAL DE LA RED VIARIA DEL TÉRMINO MUNICIPAL DE ZARAGOZA. AÑO 2016.	API-MOVILIDAD-SA	485999.92	17/01/17
S. SOCIALES COMUNITARIOS	RO PRESTACIONES DOMICILIARIAS ZONA II AGOSTO	CLECE-SA	485543.3	29/12/16
S. SOCIALES COMUNITARIOS	RO PRESTACIONES DOMICILIARIAS ZONA II MAYO	CLECE-SA	482697.88	12/08/16
S. SOCIALES COMUNITARIOS	RO PRESTACIONES DOMICILIARIAS ZONA II ABRIL	CLECE-SA	481324.38	14/07/16
S. SOCIALES COMUNITARIOS	RO PRESTACIONES DOMICILIARIAS ZONA II MARZO	CLECE-SA	478313.35	14/07/16
S. SOCIALES COMUNITARIOS	RO PRESTACIONES DOMICILIARIAS ZONA II FEBRERO	CLECE-SA	477229	07/06/16
S. SOCIALES COMUNITARIOS	RO PRESTACIONES DOMICILIARIAS ZONA II JULIO	CLECE-SA	473269.25	20/10/16
S. SOCIALES COMUNITARIOS	RO SAD ZARAGOZA NOVIEMBRE ZONA II	CLECE-SA	471394.63	07/04/17
EQUIPAMIENTOS INSTALACIONES	ABONO FACTURA MONCOBRA S.A. CERTIFIACION Nº 12 MES DE DICIEMBRE DE 2015, MANTENIMIENTO EDIFICIOS ADMINISTRATIVOS, SOCIALES Y CULT.	MONCOBRA-SA	466586.01	08/04/16
S. SOCIALES COMUNITARIOS	RO PRESTACIONES DOMICILIARIAS ZONA II OCTUBRE	CLECE-SA	451689.51	23/01/17
EQUIPAMIENTOS INSTALACIONES	ABONO FACTURA FERROSER SERVICIOS AUXILIARES S.A. CERTIFICACION JUNIO 2016 LIMPIEZA EDIFICIOS SOCIO CULTURAL.	FERROSER SERVICIOS AUXILIARES S.A.	449653.4	30/09/16
S. SOCIALES COMUNITARIOS	RO PRESTACIONES DOMICILIARIAS DICIEMBRE 2015	CLECE-SA	449239.66	05/05/16
SERVICIO TÉCNICO DE INFRAESTRUCTURAS	CERTIFICACION Nº 8 CONSERVACION Y MANTENIMENTO ALUMBRADO PUBLICO (CUOTA FIJA)	UTE ALUMBRADO ZARAGOZA	447150.38	11/03/16
SERVICIO TÉCNICO DE INFRAESTRUCTURAS	CERTIFICACION Nº 1 CONSERVACION Y MANTENIMENTO ALUMBRADO PUBLICO (CUOTA FIJA)	UTE ALUMBRADO ZARAGOZA	447114.18	08/04/16
SERVICIO TÉCNICO DE INFRAESTRUCTURAS	CERTIFICACION Nº 3 CONSERVACION Y MANTENIMENTO ALUMBRADO PUBLICO (CUOTA FIJA)	UTE ALUMBRADO ZARAGOZA	445712.51	01/06/16
EQUIPAMIENTOS INSTALACIONES	ABONO FACTURA FERROSER CERTIFICACION SEPTIEMBRE 2016 LIMPIEZA SOCIO-CULTURAL	FERROSER SERVICIOS AUXILIARES S.A.	445143.17	22/12/16
SERVICIO TÉCNICO DE INFRAESTRUCTURAS	CERTIFICACION Nº 5 CONSERVACION Y MANTENIMIENTO ALUMBRADO PUBLICO (CUOTA FIJA)	UTE ALUMBRADO ZARAGOZA	444590.14	31/08/16
SERVICIO TÉCNICO DE INFRAESTRUCTURAS	CERTIFICACION Nº 7 CONSERVACION Y MANTENIMIENTO ALUMBRADO PUBLICO (CUOTA FIJA)	UTE ALUMBRADO ZARAGOZA	444238.44	31/08/16
EQUIPAMIENTOS INSTALACIONES	ABONO FACTURA FERROSER SERVICIOS AUXILIARES S.A. CERTIFICACION MAYO 2016 LIMPIEZA EDIFICIOS SOCIO CULTURAL.	FERROSER SERVICIOS AUXILIARES S.A.	444118.11	29/07/16
SERVICIO TÉCNICO DE INFRAESTRUCTURAS	CERTIFICACION Nº 8 CONSERVACION Y MANTENIMIENTO ALUMBRADO PUBLICO (CUOTA FIJA)	UTE ALUMBRADO ZARAGOZA	443860.88	28/10/16
EQUIPAMIENTOS INSTALACIONES	SUMINISTRO ELECTRICIDAD	GAS-NATURAL-COMERCIALIZADORA-SA	440617.18	08/08/16
EQUIPAMIENTOS INSTALACIONES	ABONO FACTURA FERROSER SERVICIOS AUXILIARES S.A. CERTIFICACION MARZO 2016 Sº LIMPIEZA SOCIO CULTURAL	FERROSER SERVICIOS AUXILIARES S.A.	440080.25	09/05/16
EQUIPAMIENTOS INSTALACIONES	ABONO FACTURA FERROSER SERVICIOS AUXILIARES S.A. LIMPIEZA SOCIO CULTURAL MES DE ABRIL 1016.	FERROSER SERVICIOS AUXILIARES S.A.	439437.53	01/06/16
EQUIPAMIENTOS INSTALACIONES	ABONO FACTURA FERROSER SERVICIOS AUXILIARES S.A. CERTIFICACION FEBRERO 2016 Sº LIMPIEZA DEPENDENCIAS USO SOCIAL Y CULTURAL.	FERROSER SERVICIOS AUXILIARES S.A.	436290.23	04/05/16
SERVICIO TÉCNICO DE INFRAESTRUCTURAS	CERTIFICACION Nº 4 CONSERVACION Y MANTENIMENTO ALUMBRADO PUBLICO (CUOTA FIJA)	UTE ALUMBRADO ZARAGOZA	431024.36	04/07/16
EQUIPAMIENTOS INSTALACIONES	ABONO FACTURA FERROSER SERVICIOS AUXILIARES S.A. CERTIFICACION NOVIEMBRE 2016 FACTURA 1 DE 2. LIMPIEZA SOCIO CULTURAL.	FERROSER SERVICIOS AUXILIARES S.A.	430880.5	30/12/16
SERVICIO DE MOVILIDAD URBANA	CERT. Nº 7/2016. JULIO 2016. CONSERVACION MATERIAL SEMAFORICO DE ZARAGOZA	CERMA-ARRIAXA-SL	430485.09	20/10/16
SERVICIO TÉCNICO DE INFRAESTRUCTURAS	CERTIFICACION Nº 9 CONSERVACION Y MANTENIMIENTO ALUMBRADO PUBLICO (CUOTA FIJA)	UTE ALUMBRADO ZARAGOZA	430018.28	09/12/16
SERVICIO TÉCNICO DE INFRAESTRUCTURAS	CERTIFICACION Nº 6 CONSERVACION Y MANTENIMIENTO ALUMBRADO PUBLICO (CUOTA FIJA)	UTE ALUMBRADO ZARAGOZA	429938.2	31/08/16
EQUIPAMIENTOS INSTALACIONES	ABONO FACTURA FERROSER LIMPIEZA SOCIO CULTURAL MES DE OCTUBRE 2016	FERROSER SERVICIOS AUXILIARES S.A.	429125.87	30/12/16
EQUIPAMIENTOS INSTALACIONES	ABONO FACTURA FERROSER SERVICIOS AUXILIARES S.A. CERTIFICACION DICIEMBRE 2015 LIMIEZA SOCIO CULTURAL AYUNTAMIENTO	FERROSER SERVICIOS AUXILIARES S.A.	427517.97	04/05/16
UNIDAD DE INVENTARIO Y GESTIÓN PATRIMONIAL	SEGURO DAÑOS MATERIALES PÓLIZA Nº  83301945 AÑO 2016	ZURICH INSURANCE PLC	418628.5	24/02/16
SERVICIO TÉCNICO DE INFRAESTRUCTURAS	CERTIFICACION Nº 2 CONSERVACION Y MANTENIMENTO ALUMBRADO PUBLICO (CUOTA FIJA)	UTE ALUMBRADO ZARAGOZA	418287.45	02/06/16
SERVICIO DE MOVILIDAD URBANA	REVISIÓN PRECIOS PENDIENTE DE PPD Y PPU. AGOSTO 2014 - JULIO 2015.	SDAD-ECONOMIA-MIXTA-TRANV-ZGZ-SA	410923.52	07/06/16
S. SOCIALES COMUNITARIOS	RO PRESTACIONES DOMICILIARIAS ZONA II	CLECE-SA	406583.64	23/06/16
EQUIPAMIENTOS INSTALACIONES	SUMINISTROS ELECTRICIDAD	GAS-NATURAL-COMERCIALIZADORA-SA	405645.64	08/04/16
